name,source,AC,HP,init
Chardalyn Berserker,IDRotF,13,12d8+36,+1
Chardalyn Dragon,IDRotF,17,14d12+56,0
Chasme,MM'25,15,12d10+12,+2
Chasme,MM'14,15,13d10+13,+2
Chimera,MM'25,14,12d10+48,0
Chimera,MM'14,14,12d10+48,0
Chimeric Baboon,IDRotF,12,1d6,+2
Chimeric Cat,IDRotF,12,1d4,+2
Chimeric Fox,IDRotF,13,1d4,+3
Chimeric Fox,NRH-AVitW,13,1d4,+3
Chimeric Hare,IDRotF,13,1d4-1,+3
Chimeric Rat,IDRotF,10,1d4-1,0
Chimeric Weasel,IDRotF,13,1d4-1,+3
Chitine,MPMM,14,4d6+4,+2
Chitine,VGM,14,4d6+4,+2
Choker,MPMM,16,3d6+3,+2
Choker,MTF,16,3d6+3,+2
Choldrith,MPMM,15,12d8+12,+3
Choldrith,VGM,15,12d8+12,+3
Chupacabra,PSX,14,6d8+18,+2
Chuul,MM'25,16,9d10+27,0
Chuul,MM'14,16,11d10+33,0
Chuul Spore Servant,OotA,16,11d10+33,0
Chwinga,CM,15,2d4,+5
Chwinga,IDRotF,15,2d4,+5
Chwinga,ToA,15,2d4,+5
Chwinga Astronaut,BAM,15,3d4,+5
Cinder Hulk,BGG,16,8d10+40,+1
Citadel Spider,VEoR,17,20d20+150,0
Clawfoot,ERLW,13,3d8+6,+3
Clay Gladiator,ToA,17,15d8+45,+2
Clay Golem,MM'25,14,13d10+52,-1
Clay Golem,MM'14,14,14d10+56,-1
Cloaker,MM'14,14,12d10+12,+2
Cloaker,MM'25,14,14d10+14,+2
Cloaker Mutate,PaBTSO,14,22d10+22,+2
Clockwork Behir,OoW,17,16d12+64,+3
Clockwork Bronze Scout,MPMM,13,8d8,+3
Clockwork Defender,KftGV,17,5d8+20,+2
Clockwork Dragon,AI,16,4d8+4,0
Clockwork Horror,MCV1SC,17,8d6+32,+2
Clockwork Iron Cobra,MPMM,13,14d8+28,+3
Clockwork Kraken,LLK,17,15d10+60,+1
Clockwork Mule,SKT,10,2d8+2,0
Clockwork Oaken Bolter,MPMM,16,18d8+36,+4
Clockwork Observer,KftGV,14,2d4+2,+3
Clockwork Stone Defender,MPMM,16,14d8+42,0
Cloud Giant,MM'25,14,16d12+96,0
Cloud Giant,MM'14,14,16d12+96,0
Cloud Giant Destiny Gambler,BGG,15,27d12+162,+1
Cloud Giant Ghost,CM,15,16d12,0
Cloud Giant Noble,TftYP,16,16d12+96,0
Cloud Giant of Evil Air,BGG,14,16d12+96,0
Cloud Giant Smiling One,MPMM,15,20d12+120,+1
Cloud Giant Smiling One,VGM,15,21d12+128,+1
Clown,NRH-CoI,13,2d8+2,+1
Coatl,PSX,19,13d8+39,+5
Cockatrice,MM'25,11,5d6+5,+1
Cockatrice,MM'14,11,6d6+6,+1
Cockatrice Regent,MM'25,15,16d10+48,+2
Cogwork Archivist,SCC,17,12d10+24,0
Coldlight Walker,IDRotF,13,11d8+33,0
Colossus,MM'25,23,27d20+270,0
Colossus of Akros,MOT,20,20d20+140,0
Combat Robot,QftIS,15,15d8+45,+2
Commoner,MM'14,10,1d8,0
Commoner,WttHC,10,1d8,0
Commoner,MM'25,10,1d8,0
Conclave Dryad,GGR,16,22d8+44,+4
Conjurer,VGM,12,9d8,+2
Conjurer Wizard,MPMM,12,13d8,+2
Conservatory Student,KftGV,11,2d8,+1
Constrictor Snake,MM'14,12,2d10+2,+2
Constrictor Snake,MM'25,13,2d10+2,+2
Construct (Animated Armor),PSK,17,6d8+6,0
Construct (Helmed Horror),PSK,20,8d8+24,+1
Construct (Modron),PSK,15,1d8+1,+1
Construct (Shield Guardian),PSK,17,15d10+60,-1
Construct Spirit,PHB'24,13,(manual),0
Construct Spirit,TCE,13,(manual),0
Constructed Commoner,CM,15,1d8+2,0
Copper Dragon Wyrmling,MM'25,16,4d8+4,+1
Copper Dragon Wyrmling,MM'14,16,4d8+4,+1
Copper Greatwyrm,FTD,22,29d20+261,+3
Coral,MisMV1,17,18d10+36,+1
Core Spawn Crawler,EGW,12,6d6,+2
Core Spawn Emissary,EGW,15,12d8+48,+2
Core Spawn Seer,EGW,17,18d8+72,+1
Core Spawn Worm,EGW,17,18d20+90,-3
Cornelius Watson,MaBJoV,12,28d8+28,+2
Corpse Flower,MPMM,12,15d10+45,+2
Corpse Flower,MTF,12,15d10+45,+2
Corrupted Avatar of Lurue,CM,14,12d10+24,+2
Corrupted Giant Shark,CRCotN,13,11d12+55,0
Corrupted Rat,WttHC,10,1d4-1,0
Corruption Devil (Paeliryon),CoA,16,19d10+114,+2
Cosmic Horror,BAM,15,16d20+112,0
Cosmotronic Blastseeker,GGR,15,5d8+15,+2
Couatl,MM'25,19,8d8+24,+5
Couatl,MM'14,19,13d8+39,+5
Counterflux Blastseeker,GGR,13,6d8+12,+3
Cow,VGM,10,2d10+4,0
Crab,MM'14,11,1d4,0
Crab,MM'25,11,1d4+1,0
Crab Folk,MFF,16,8d10+24,0
Cradle of the Cloud Scion,BGG,19,32d20+288,+5
Cradle of the Fire Scion,BGG,20,30d20+240,+1
Cradle of the Frost Scion,BGG,20,27d20+216,+2
Cradle of the Hill Scion,BGG,19,23d20+161,0
Cradle of the Stone Scion,BGG,20,26d20+182,+2
Cradle of the Storm Scion,BGG,19,35d20+315,+2
Crag Cat,SKT,13,4d10+12,+3
Cranium Rat,MPMM,12,1d4,+2
Cranium Rat,VGM,12,1d4,+2
Cranium Rat Squeaker,MPP,12,1d4,+2
Cranium Rat Squeaker Swarm,MPP,12,17d8,+2
Crawling Claw,MM'14,12,1d4,+2
Crawling Claw,MM'25,12,1d4,+2
Creeper,MCV3MC,12,3d8+6,0
Creepy Doll,PSI,12,6d4+6,+2
Crimson Helmed Horror,KftGV,20,8d8+24,+1
Criosphinx,PSA,17,24d10+96,+2
Crocodile,MM'25,12,2d10+2,0
Crocodile,MM'14,12,3d10+3,0
Crow,WDMM,12,1d4-1,+2
Crushing Wave Priest,PotA,13,8d8+16,0
Crushing Wave Reaver,PotA,14,4d8+4,+2
Cryonax,MaBJoV,20,27d12+216,+3
Crystal Battleaxe,WDMM,17,5d6,+2
Crystal Cave Merfolk,AWM,11,11,+1
Crystal Dragon Wyrmling,FTD,14,5d8+10,+1
Crystal Golem,WDMM,17,17d10+85,-1
Crystal Greatwyrm,FTD,20,26d20+234,+2
Cthulhu,RHW,19,22d20+154,+1
Cult Fanatic,MM'14,13,6d8+6,+2
Cultist,MM'25,12,2d8,+1
Cultist,MM'14,12,2d8,+1
Cultist Fanatic,MM'25,13,8d8+8,+2
Cultist Hierophant,MM'25,16,17d8+68,+4
Cultist of Bane,FRAiF,16,19d8+57,+2
Cultist of Bhaal,FRAiF,16,17d8+68,+4
Cultist of Demogorgon,WttHC,12,2d8,+2
Cultist of Myrkul,FRAiF,16,24d8+96,+2
Cuprilach Rilmani,MPP,16,27d8+81,+5
Curate,HotB,12,15d8+30,+2
Cyclops,MM'14,14,12d12+60,0
Cyclops Oracle,MM'25,16,18d12+90,0
Cyclops Sentry,MM'25,14,12d12+60,0
Daask Bruiser,EFA,17,20d8+60,+1
Daask Raider,EFA,15,6d8+6,+1
Dabus,MPP,12,8d8+8,+2
Daemogoth,SCC,16,15d12+60,+2
Daemogoth Titan,SCC,17,11d20+88,0
Dagryn,MaBJoV,19,13d8+26,-1
Damaged Flesh Golem,EGW,9,11d8+44,-1
Dancing Flame,CRCotN,15,12d8+12,+3
Dancing Item,TCE,16,(manual),+2
Dandylion,MisMV1,14,12d10+24,+4
Dankwood Duergar,MGELFT,17,4d8+8,0
Dankwood Grung,MGELFT,13,5d6+10,+3
Dankwood Hag,AWM,17,82,+1
Dao,MM'14,17,15d10+105,+1
Dao,MM'25,18,16d10+112,+1
Darien,MaBJoV,12,19d10+57,+2
Dark Tide Knight,PotA,13,9d8+18,+3
Darkling,MPMM,14,3d6+3,+3
Darkling,VGM,14,3d6+3,+3
Darkling Elder,MPMM,15,5d8+5,+3
Darkling Elder,VGM,15,5d8+5,+3
Darkmantle,MM'14,11,5d6+5,+1
Darkmantle,MM'25,11,5d6+5,+1
Darkweaver,MPP,16,23d8+46,+3
Dead Three Scion,FRAiF,17,26d8+104,+2
Deadbark Dryad,VEoR,16,22d8+88,+3
Deadstone Cleft Stone Giant,SKT,17,11d12+55,+2
Death Cultist,MM'25,17,15d8+60,+1
Death Dog,MM'14,12,6d8+12,+2
Death Dog,MM'25,12,6d8+12,+2
Death Embrace,CRCotN,13,14d12+56,+2
Death Giant Reaper,BGG,17,15d12+75,+2
Death Giant Shrouded One,BGG,12,17d12+85,+2
Death Kiss,MPMM,15,15d10+60,+2
Death Kiss,VGM,16,17d10+68,+2
Death Knight,MM'14,20,19d8+95,0
Death Knight,MM'25,20,21d8+105,0
Death Knight Aspirant,MM'25,20,21d8+84,0
Death Slaad,MM'14,17,20d8+80,+2
Death Slaad,MM'25,18,21d8+84,+2
Death Tyrant,MM'14,19,25d10+50,+2
Death Tyrant,MM'25,19,26d10+52,+2
Death's Head,RHW,16,5d4+5,+1
Death's Head,VRGR,16,5d4+5,+1
Death's Head of Bhaal,BGDIA,15,8d8+40,+5
Death's Head Tree,RHW,15,10d12+30,-1
Deathless Rider,MCV4EC,17,13d8+26,0
Deathlock,MPMM,12,8d8,+2
Deathlock,MTF,12,8d8,+2
Deathlock Mastermind,MPMM,13,20d8+20,+3
Deathlock Mastermind,MTF,13,20d8+20,+3
Deathlock Wight,MPMM,12,5d8+15,+2
Deathlock Wight,MTF,12,5d8+15,+2
Deathpact Angel,GGR,17,27d8+54,+4
Deathwolf,VEoR,15,18d8+72,+3
Decapus,TTP,14,10d10+20,+2
Decaton Modron,MPP,16,17d10+51,+1
Deck Defender,BMT,16,(manual),+3
Deep Crow,AI,17,14d10+56,+3
Deep Dragon Wyrmling,FRAiF,15,5d8+5,0
Deep Dragon Wyrmling,FTD,15,5d8+5,0
Deep Gnome (Svirfneblin),MM'14,15,3d6+6,+2
Deep Rothé,MPMM,10,2d8+4,0
Deep Rothé,VGM,10,2d8+4,0
Deep Scion,MPMM,11,9d8+27,+1
Deep Scion,VGM,11,9d8+27,+1
Deep Spider,MaBJoV,15,10d12+30,+2
Deer,MM'14,13,1d8,+3
Deer,MM'25,13,1d8,+3
Degloth,VEoR,17,14d10+56,+3
Deinonychus,MPMM,13,4d8+8,+2
Deinonychus,VGM,13,4d8+8,+2
Demilich,MM'25,20,72d4,+5
Demilich,MM'14,20,32d4,+5
Demobat,WttHC,13,6d4+6,+3
Demodog,WttHC,14,6d6+6,+2
Demodragon,WttHC,16,12d12+24,0
Demogorgon,MTF,22,28d12+224,+2
Demogorgon,MPMM,22,32d12+256,+2
Demogorgon,HftT,15,8d8+24,+1
Demogorgon Spawn,WttHC,15,8d8+8,+2
Demon,PSX,15,11d10+44,+2
Demon,PSK,17,18d8+72,+3
Demon Ichor,CoA,7,10d10+30,-3
Demonlord of Ashmouth,PSI,17,17d10+85,+3
Demos Magen,IDRotF,16,6d8+24,+2
Derro,MPMM,13,3d6+3,+2
Derro,MTF,13,3d6+3,+2
Derro,OotA,13,3d6+3,+2
Derro Apprentice,QftIS,13,5d6+5,+2
Derro Raider,QftIS,12,3d6+6,+1
Derro Savant,MPMM,13,8d6+8,+2
Derro Savant,MTF,13,8d6+8,+2
Derro Savant,OotA,13,11d6+11,+2
Detached Shadow,WBtW,12,3d8+3,+2
Deva,MM'14,17,16d8+64,+4
Deva,MM'25,17,27d8+108,+4
Devkarin Lich,GGR,14,15d8+30,+3
Devourer,VGM,16,17d10+85,+1
Devourer,MPMM,16,18d10+90,+1
Dhergoloth,MPMM,15,14d8+56,0
Dhergoloth,MTF,15,14d8+56,0
Diatryma,WDH,11,3d10+3,+1
Dimetrodon,MPMM,12,3d8+6,0
Dimetrodon,VGM,12,3d8+6,0
Dining Table Mimic,WDH,12,10d10+20,+1
Dinosaur Skeleton,JttRC,13,6d10+18,+1
Dire Corby,MFF,13,3d8+3,+2
Dire Troll,MPMM,15,15d12+75,+2
Dire Troll,MTF,15,15d12+75,+2
Dire Wolf,MM'25,14,3d10+6,+2
Dire Wolf,MM'14,14,5d10+10,+2
Dire Worg,MM'25,16,14d12+56,+2
Disciple,HoL,11,2d8,-1
Dispater,CoA,20,33d10+231,+3
Displacer Beast,MM'25,13,9d10+27,+2
Displacer Beast,MM'14,13,10d10+30,+2
Displacer Beast Kitten,WBtW,12,2d6+2,+1
Displacer Fiend,CoA,16,18d10+36,+4
Distended Corpse,CoS,10,1d8,0
Diva,JttRC,13,3d8+3,+2
Diviner,VGM,12,15d8,+2
Diviner Wizard,MPMM,12,20d8,+2
Djinni,MM'14,17,14d10+84,+2
Djinni,MM'25,17,19d10+114,+2
Dohwar,BAM,11,3d6,+1
Dolgaunt,ERLW,16,6d8+6,+4
Dolgrim,ERLW,15,3d6+3,+2
Dolphin,MPMM,12,2d8+2,+1
Dolphin,VGM,12,2d8+2,+1
Dolphin Delighter,MPMM,14,5d8+5,+1
Domestic Wonder,FRAiF,9,1d8+1,-1
Doomguard Doom Lord,MPP,17,27d8+81,+1
Doomguard Rot Blade,MPP,17,13d8+39,+1
Doomwake Giant,MOT,15,13d12+78,+1
Doppelganger,MM'14,14,8d8+16,+4
Doppelganger,MM'25,14,8d8+16,+4
Doric,HAT-TG,14,16d8+32,+3
Dracohydra,FTD,17,19d12+95,+1
Dracolich,MM'25,20,18d12+108,0
Draconian Dreadnought,FTD,16,6d10+24,0
Draconian Foot Soldier,FTD,14,4d8+4,0
Draconian Infiltrator,FTD,15,6d8+12,+3
Draconian Mage,FTD,15,9d8,0
Draconian Mastermind,FTD,17,9d8+27,+2
Draconic Shard,FTD,17,16d12+64,+1
Draconic Spirit,PHB'24,14,(manual),+2
Draconic Spirit,FTD,14,(manual),+2
Dracophage Subject,DSotDQ,15,6d8+12,+3
Draegloth,MPMM,15,13d10+52,+2
Draegloth,VGM,15,13d10+52,+2
Draft Horse,MM'25,10,2d10+4,0
Draft Horse,MM'14,10,3d10+3,0
Dragon,PSK,19,19d12+133,0
Dragon Army Dragonnel,DSotDQ,16,9d10+9,+2
Dragon Army Officer,DSotDQ,19,10d8+20,+2
Dragon Army Soldier,DSotDQ,17,4d8+4,+1
Dragon Blessed,FTD,14,10d8+30,0
Dragon Chosen,FTD,17,7d8+14,+4
Dragon Hunter,JttRC,13,9d8+18,+1
Dragon Speaker,FTD,13,8d6+8,+2
Dragon Tortoise,CM,20,22d20+110,0
Dragon Turtle,MM'14,20,22d20+110,0
Dragon Turtle,MM'25,20,23d20+115,0
Dragon Turtle Wyrmling,FTD,17,12d10+24,0
Dragonblood Ooze,FTD,14,8d10+24,-2
Dragonbone Golem,FTD,17,19d10+57,0
Dragonborn of Bahamut,FTD,17,11d8+44,+1
Dragonborn of Sardior,FTD,17,10d8+30,+3
Dragonborn of Tiamat,FTD,17,10d8+40,0
Dragonclaw,HotDQ,14,3d8+3,+3
Dragonfang,RoT,15,12d8+24,+3
Dragonflesh Abomination,FTD,15,7d12+21,+2
Dragonflesh Grafter,FTD,14,7d10+14,0
Dragonnel,FTD,13,9d10+9,+2
Dragonsoul,RoT,16,17d8+34,+4
Dragonwing,HotDQ,14,6d8+6,+3
Drake (Large),PSK,13,4d10+4,+3
Drake (Large),PSZ,13,4d10+4,+3
Drake (Small),PSK,13,3d8,+2
Drake (Small),PSZ,13,3d8,+2
Drake Companion,FTD,14,(manual),+1
Dread Doppelganger,MaBJoV,16,12d8+24,+6
Dread Warrior,TftYP,17,5d8+15,0
Dream Eater,MCV2DC,15,14d8+14,+5
Dreaming Dark Infiltrator,EFA,15,16d8+32,+3
Dreaming Dark Mindkiller,EFA,19,24d8+72,+4
Dretch,WttHC,11,4d6+4,0
Dretch,MM'25,11,4d6+4,0
Dretch,MM'14,11,4d6+4,0
Drider,MM'25,19,13d10+52,+4
Drider,MM'14,19,13d10+52,+3
Drow,MM'14,15,3d8,+2
Drow Acolyte,OotA,10,2d8,0
Drow Arachnomancer,MPMM,15,25d8+50,+3
Drow Arachnomancer,MTF,15,25d8+50,+3
Drow Assassin,OotA,15,12d8+24,+3
Drow Bandit,OotA,12,2d8+2,+1
Drow Commander,TftYP,17,11d8+22,+4
Drow Commoner,OotA,10,1d8,0
Drow Cultist,OotA,12,2d8,+1
Drow Elite Warrior,MM'14,17,11d8+22,+4
Drow Elite Warrior of Lolth,FRAiF,18,11d8+22,+4
Drow Favored Consort,MTF,15,30d8+90,+5
Drow Favored Consort,MPMM,15,32d8+96,+5
Drow Guard,OotA,16,2d8+2,+1
Drow Gunslinger,WDH,17,13d8+26,+4
Drow House Captain,MPMM,16,25d8+50,+4
Drow House Captain,MTF,16,25d8+50,+4
Drow Inquisitor,MTF,16,22d8+44,+2
Drow Inquisitor,MPMM,16,23d8+46,+2
Drow Mage,MM'14,12,10d8,+2
Drow Mage of Lolth,FRAiF,15,18d8,+2
Drow Matron Mother,MPMM,17,33d8+99,+4
Drow Matron Mother,MTF,17,35d8+105,+4
Drow Noble,OotA,15,2d8,+1
Drow of Lolth,FRAiF,15,3d8,+2
Drow Priestess of Lolth,MM'14,16,13d8+13,+2
Drow Priestess of Lolth,FRAiF,16,18d8+18,+2
Drow Scout,OotA,13,3d8+3,+2
Drow Shadowblade,MPMM,17,20d8+60,+5
Drow Shadowblade,MTF,17,20d8+60,+5
Drow Spore Servant,OotA,15,3d8,+2
Drow Spy,OotA,12,6d8,+2
Drowned Ascetic,GoS,13,10d8+30,+3
Drowned Assassin,GoS,14,9d8+27,+3
Drowned Blade,GoS,10,6d8+18,-1
Drowned Master,GoS,14,21d8+63,+1
Druid,MM'14,11,5d8+5,+1
Druid,MM'25,13,8d8+8,+1
Druid of the Old Ways,GGR,14,12d8+36,+2
Dryad,MM'14,11,5d8,+1
Dryad,PSX,11,5d8,+1
Dryad,MM'25,16,5d8,+1
Dryad Spirit,BGDIA,12,13d8,+2
Duergar,MM'14,16,4d8+4,0
Duergar Alchemist,OotA,16,4d8+4,0
Duergar Darkhaft,OotA,16,4d8+4,0
Duergar Despot,MPMM,20,14d8+56,-3
Duergar Despot,MTF,20,14d8+56,-3
Duergar Hammerer,MPMM,17,6d8+6,-2
Duergar Hammerer,MTF,17,6d8+6,-2
Duergar Kavalrachni,MPMM,16,4d8+8,0
Duergar Kavalrachni,MTF,16,4d8+8,0
Duergar Keeper of the Flame,OotA,16,4d8+4,0
Duergar Mind Master,MPMM,14,6d8+12,+3
Duergar Mind Master,MTF,14,6d8+12,+3
Duergar Screamer,MPMM,15,7d8+7,-2
Duergar Screamer,MTF,15,7d8+7,-2
Duergar Soulblade,MTF,14,4d8,+3
Duergar Soulblade,MPMM,14,6d8,+3
Duergar Spore Servant,OotA,16,4d8+8,0
Duergar Spy,TftYP,15,6d8+6,+3
Duergar Stone Guard,MPMM,17,6d8+12,0
Duergar Stone Guard,MTF,17,6d8+12,0
Duergar Warlord,MPMM,20,10d8+30,0
Duergar Warlord,MTF,20,10d8+30,0
Duergar Xarrorn,MPMM,17,4d8+8,0
Duergar Xarrorn,MTF,17,4d8+8,0
Dullahan,RHW,15,17d8+51,+2
Dullahan,VRGR,16,18d8+54,+2
Dum-Dum Goblin,AWM,7,7,+2
Dunbarrow Witch,MCV4EC,12,16d8,+2
Duodrone,MM'14,15,2d8+2,+1
Dusk Hag,ERLW,17,15d8+15,+2
Dust Hulk,BGG,16,8d10+24,+4
Dust Mephit,MM'14,12,5d6,+2
Dust Mephit,MM'25,12,5d6,+2
Dwarf,AWM,10,30,+1
Dwarf Skeleton,PaBTSO,13,4d8+8,0
Dwarven Worker,IMR,12,2d8,+1
Dybbuk,MPMM,14,5d8+15,+4
Dybbuk,MTF,14,5d8+15,+4
Dyrrn,ERLW,20,31d8+186,+5
Eagle,MM'14,12,1d6,+2
Eagle,MM'25,12,1d6+1,+2
Earth Elemental,MM'14,17,12d10+60,-1
Earth Elemental,MM'25,17,14d10+70,-1
Earth Elemental Myrmidon,MTF,17,17d8+51,0
Earth Elemental Myrmidon,MPMM,17,17d8+51,0
Earth Totem Elemental,PSX,17,12d10+60,-1
Eater of Hope,MOT,17,12d10+24,+3
Eater of Knowledge,MPP,15,12d10+36,0
Eblis,ToA,13,4d10+4,+3
Ebonbane,RHW,17,29d6+29,+4
Echo of Demogorgon,BGG,14,10d10+30,0
Edgin Darvis,HAT-TG,14,17d8+34,+3
Edwin Odesseiron,MaBJoV,13,30d8+60,+3
Efreeti,MM'14,17,16d10+112,+1
Efreeti,MM'25,17,17d10+119,+1
Egg Hunter Adult,FTD,16,8d6+24,+5
Egg Hunter Hatchling,FTD,14,8d4+8,+3
Eidolon,MPMM,9,18d8-18,-1
Eidolon,MTF,9,18d8-18,-1
Elder Black Pudding,TftYP,7,10d12+30,-3
Elder Brain,MPMM,10,20d10+100,0
Elder Brain,VGM,10,20d10+100,0
Elder Brain Dragon,FTD,17,20d20+140,+1
Elder Dinosaur,PSX,25,33d20+330,0
"Elder Dinosaur (Etali, Primal Storm)",PSX,25,33d20+330,0
"Elder Dinosaur (Ghalta, Primal Hunger)",PSX,25,33d20+330,0
"Elder Dinosaur (Nezahal, Primal Tide)",PSX,25,33d20+330,0
"Elder Dinosaur (Tetzimoc, Primal Death)",PSX,25,33d20+330,0
"Elder Dinosaur (Zacama, Primal Calamity)",PSX,25,33d20+330,0
"Elder Dinosaur (Zetalpa, Primal Dawn)",PSX,25,33d20+330,0
Elder Giant Lizard,TftYP,14,9d12+27,-1
Elder Monastery of the Distressed Body Monk,LLK,13,6d8+6,+2
Elder Oblex,MPMM,16,10d12+50,+3
Elder Oblex,MTF,16,10d12+50,+3
Elder Tempest,MPMM,19,16d20+96,+9
Elder Tempest,MTF,19,16d20+96,+9
Elder Thing,RHW,16,22d10+88,0
Eldritch Eddy,NF,11,17d10+51,+1
Eldritch Horror Hatchling,KftGV,14,6d10+6,0
Eldritch Lich,MCV1SC,17,22d8+66,+4
Elemental Cataclysm,MM'25,20,20d20+160,+4
Elemental Cultist,MM'25,16,18d8+54,+1
Elemental Spirit,PHB'24,11,(manual),+2
Elemental Spirit,TCE,11,(manual),+2
Elephant,MM'25,12,8d12+24,-1
Elephant,MM'14,12,8d12+24,-1
Elk,MM'25,10,2d10,0
Elk,MM'14,10,2d10+2,0
Ember,MCV2DC,20,20d12+140,0
Emberhorn Minotaur,PotA,14,9d10+27,0
Emerald Claw Commander,EFA,20,12d8+24,0
Emerald Claw Knight,EFA,18,8d8+16,0
Emerald Dragon Wyrmling,FTD,16,6d8+12,+1
Emerald Enclave Scout,OotA,16,3d8+6,+2
Emerald Greatwyrm,FTD,20,26d20+234,+2
Empyrean,MM'14,22,19d12+190,+5
Empyrean,MM'25,22,21d12+210,+5
Empyrean Iota,MM'25,13,5d8,+2
Emrakul,PSZ,25,33d20+330,0
Encephalon Cluster,PaBTSO,13,17d10+17,0
Encephalon Gemmule,PaBTSO,14,12d4+24,+4
Enchanter,VGM,12,9d8,+2
Enchanter Wizard,MPMM,12,11d8,+2
Enchanting Infiltrator,BMT,17,24d8+48,+5
Ender Dragon,MCV3MC,22,20d20+140,+2
Enderman,MCV3MC,14,12d8+24,+4
Engineer,WDH,10,2d6,0
Enhanced Medusa,IMR,15,17d8+51,+2
Enormous Tentacle,OoW,12,8d12+8,+2
Eo Ashmajiir,MaBJoV,16,28d8+0,+3
Equinal Guardinal,MPP,15,11d10+33,+3
Erinyes,MM'14,17,18d8+72,+3
Erinyes,MM'25,18,21d8+84,+3
Esthetic,BAM,14,14d20+70,-1
Eternal,PSA,14,6d8+18,+2
Eternal Flame Guardian,PotA,17,7d8+14,+1
Eternal Flame Priest,PotA,12,8d8+16,+2
Ettercap,MM'25,13,8d8+8,+2
Ettercap,MM'14,13,8d8+8,+2
Ettin,MM'25,12,10d10+30,-1
Ettin,MM'14,12,10d10+30,-1
Ettin Ceremorph,BGG,15,11d10+44,+2
Euryale,BMT,17,35d8+140,+3
Evil Mage,HftT,12,5d8,+2
Evil Mage,LMoP,12,5d8,+2
Evoker,VGM,12,12d8+12,+2
Evoker Wizard,MPMM,12,22d8+22,+2
Expeditious Messenger,ERLW,13,2d4+2,+3
Expert,ESK,14,2d8+2,+2
Expert,SLW,15,8d8+8,+3
Expert,SDW,16,10d8+10,+4
Expert,DC,17,12d8+12,+5
Eye Monger,BAM,17,13d10+78,-2
Eye of Fear and Flame,MFF,15,16d8+64,+2
Eyedrake,FTD,16,14d10+42,0
Eyestalk of Gzemnid,ToFW,17,15d20+90,-2
Ez d'Avenir,RHW,14,16d8+48,+4
Factol Skall,AATM,17,28d8+84,+3
Faerie Borrower,MCV4EC,15,5d4,+5
Faerie Dragon (Blue),MM'14,15,4d4+4,+5
Faerie Dragon (Green),MM'14,15,4d4+4,+5
Faerie Dragon (Indigo),MM'14,15,4d4+4,+5
Faerie Dragon (Orange),MM'14,15,4d4+4,+5
Faerie Dragon (Red),MM'14,15,4d4+4,+5
Faerie Dragon (Violet),MM'14,15,4d4+4,+5
Faerie Dragon (Yellow),MM'14,15,4d4+4,+5
Faerie Dragon Adult,MM'25,15,10d4+10,+5
Faerie Dragon Youth,MM'25,13,6d4+6,+3
Faerie Pathlighter,MCV4EC,12,7d8+7,+2
Faerie Pest,MCV4EC,14,5d6+5,+3
Falcon,WDH,13,1d4-1,+3
Faldorn,MaBJoV,11,20d8+40,+1
False Lich,VEoR,17,21d8+105,+3
Farastu Demodand,MPP,17,26d8+78,+1
Farastu Stalker,MaBJoV,16,11d8+22,+1
Fastieth,ERLW,14,2d8,+4
Fate Hag,BMT,14,13d8+13,+2
Fated Shaker,MPP,13,17d8,+3
Fathomer,PotA,10,8d8+16,0
Feathergale Knight,PotA,16,6d8+6,+2
Felbarren Dwarf,SKT,16,2d8+2,+1
Felidar,PSZ,12,9d10+18,+2
Felidar,GGR,17,11d10+33,+3
Female Steeder,MPMM,14,4d10+8,+3
Female Steeder,MTF,14,4d10+8,+3
Female Steeder,OotA,14,4d10+8,+3
Fensir Devourer,BGG,17,12d12+60,0
Fensir Skirmisher,BGG,15,9d10+45,+2
Feral Ashenwight,PaBTSO,16,10d8+20,+1
Ferocidon,PSX,13,6d10+18,+1
Ferrumach Rilmani,MPP,17,16d8+64,+2
Fey Spirit,PHB'24,12,(manual),+3
Fey Spirit,TCE,12,(manual),+3
Feyr,BAM,16,16d10,+3
Fiend Cultist,MM'25,16,17d8+51,+2
Fiendish Auger,PaBTSO,15,9d12+27,0
Fiendish Flesh Golem,BGDIA,12,20d10+100,-1
Fiendish Formian,CoA,15,6d8+18,+2
Fiendish Giant Spider,OotA,13,2d8+2,+3
Fiendish Icon,ABH,13,5d6+5,+1
Fiendish Orc,CRCotN,16,11d8+44,+1
Fiendish Spirit,PHB'24,12,(manual),+3
Fiendish Spirit,TCE,12,(manual),+3
Fierna,CoA,20,35d8+210,+7
Firbolg Primeval Warden,BGG,16,10d8+20,+2
Firbolg Wanderer,BGG,16,12d8+36,+2
Fire Elemental,MM'14,13,12d10+36,+3
Fire Elemental,MM'25,13,11d10+33,+3
Fire Elemental Myrmidon,MTF,17,19d8+38,+4
Fire Elemental Myrmidon,MPMM,17,19d8+38,+4
Fire Giant,MM'25,18,13d12+78,-1
Fire Giant,MM'14,17,13d12+78,-1
Fire Giant Dreadnought,VGM,20,15d12+90,-1
Fire Giant Dreadnought,MPMM,20,15d12+90,-1
Fire Giant Forgecaller,BGG,17,25d12+150,0
Fire Giant of Evil Fire,BGG,17,12d12+72,-1
Fire Giant Royal Headsman,TftYP,17,13d12+78,-1
Fire Giant Servant,TftYP,13,10d12+40,-1
Fire Guardian,PSX,13,12d10+36,+3
Fire Hellion,BGG,17,14d12+84,0
Fire Kraken,CoA,16,23d20+161,0
